Days;HealthyRed;HealthyGreen;AttackedRed;AttackedGreen;AgeRedAt_t0;TotalRed;State
1;4;307;1;26;196;5;1
22;25;273;16;24;185;41;0
42;15;233;5;18;165;20;0
63;48;174;13;8;144;61;0
84;60;109;7;12;123;67;0
104;57;32;13;3;103;70;0
125;28;5;2;4;82;30;0
146;2;3;1;3;61;3;0
167;0;2;2;2;40;2;0
188;0;2;0;3;19;0;0
209;0;5;0;4;-2;0;0
230;0;6;0;5;-23;0;0
251;0;5;0;6;-44;0;0
272;0;4;5;2;-65;5;0
293;0;3;0;2;-86;0;0
314;0;3;2;0;-107;2;0
394;0;73;0;1;-187;0;0
412;0;94;0;3;-205;0;0
433;3;117;1;10;-226;4;0
454;1;162;0;10;-247;1;0
475;12;170;10;21;-268;22;0
496;4;160;8;20;-289;12;0
517;57;45;48;3;-310;105;0
538;19;31;8;5;-331;27;0
559;3;15;6;6;-352;9;0
580;6;6;11;1;-373;17;0
601;1;9;4;4;-394;5;0
622;6;0;6;0;-415;12;0
643;0;0;0;0;-436;0;0
664;0;0;0;0;-457;0;0
685;0;0;0;0;-478;0;0
706;0;0;0;0;-499;0;0
727;0;0;0;0;-520;0;0
748;0;0;0;0;-541;0;0
